ssn,phone,city,maritalstatus,fullname,birthdate
138-46-1703,(09)-3858-4208,Saint Paul (Minnesota),Divorced,May Malkin,1989-02-23
166-85-1469,(09)-3433-1179,Seattle (Washington),Married,Adelle Raley,1987-08-08
177-81-1507,(03)-3468-8432,Seattle (Washington),Common-Law,Ena Carlisle,1969-06-26
408-51-1051,(09)-7703-6766,Baltimore (Maryland),Divorced,Lynette France,1988-12-14
323-82-1680,(09)-7504-7659,Seattle (Washington),Single,Charmaine Sumner,1988-12-09
381-34-1943,(08)-3468-2611,New Orleans (Louisiana),Married,Karl Haas,1990-03-21
425-30-1148,(07)-3858-5867,St. Louis (Missouri),Common-Law,Rudolph Fogg,1970-01-14
279-82-1759,(05)-5794-6480,North Las Vegas (Nevada),Married,Noriko Tapia,1983-08-08
177-60-1768,(09)-9235-5952,Boise (Idaho),Married,Larry Saucier,1977-10-05
279-25-1854,(08)-7504-2735,Bakersfield (California),Single,Elsa Witte,1983-11-02
238-30-1854,(04)-5050-1452,Richmond (Virginia),Single,Robert Carberry,1984-04-13
138-30-1612,(03)-6745-5036,Newark (New Jersey),Single,Rudolf Maloney,1987-07-18
429-55-1145,(08)-7905-1079,San Jose (California),Married,Merrill Barlett,1982-04-01
301-93-1423,(08)-5592-8055,Mesa (Arizona),Married,Dorris Forester,1973-07-20
287-85-1718,(07)-5854-1423,Santa Ana (California),Single,Giuseppe Thomas,1979-11-22
408-81-1985,(05)-7973-8405,Scottsdale (Arizona),Married,Elisha Giroux,1982-10-24
224-34-1940,(03)-5330-4870,Memphis (Tennessee),Married,Irvin Farrier,1978-04-22
144-55-1866,(08)-5125-8405,Charlotte (North Carolina),Common-Law,Russel Cleghorn,1970-02-08
425-74-1054,(04)-8435-8055,St. Louis (Missouri),Common-Law,Jon Hance,1969-12-30
301-74-1108,(08)-3460-8640,Tulsa (Oklahoma),Common-Law,Eileen Starks,1988-09-08
287-54-1084,(04)-5854-8193,Orlando (Florida),Single,Jena Mcbride,1982-03-26
429-60-1858,(09)-9292-8432,New York (New York),Single,Joann Pepper,1973-12-03
301-85-1941,(04)-6865-9523,Los Angeles (California),Single,Alicia Newquist,1972-01-11
381-46-1492,(08)-3320-1633,Charlotte (North Carolina),Divorced,Irene Duff,1990-04-04
287-54-1759,(07)-9719-3554,Wichita (Kansas),Common-Law,Wayne Hagen,1987-04-17
381-23-1345,(05)-5330-7414,Chula Vista (California),Common-Law,Marnie Tew,1983-04-26
339-46-1891,(05)-5592-4983,Tucson (Arizona),Divorced,Viola Mcallister,1979-01-27
301-74-1666,(04)-5502-5686,Aurora (Colorado),Common-Law,Nannie Narcisse,1980-08-11
287-51-1101,(04)-2905-8405,Wichita (Kansas),Married,Ron Richardson,1981-01-06
287-51-1979,(05)-3468-5326,Laredo (Texas),Single,Eleanor Majors,1969-07-21
323-93-1394,(05)-8288-3563,Kansas City (Missouri),Married,Lyndsey Erb,1978-02-11
177-34-1067,(05)-5854-6500,Long Beach (California),Single,Abby Mcrae,1987-08-03
320-23-1324,(04)-2905-3197,Jersey City (New Jersey),Common-Law,Mia Hughes,1973-02-10
391-46-1048,(08)-5062-9114,Lincoln (Nebraska),Single,Francesca Mccracken,1977-04-27
429-83-1559,(04)-5794-7456,Buffalo (New York),Divorced,Tom Kirkpatrick,1972-02-27
287-25-1399,(09)-2298-6781,Richmond (Virginia),Married,Herman Turco,1976-10-26
116-34-1011,(04)-5002-5119,Gilbert (Arizona),Single,Julian Hoover,1979-01-20
216-81-1148,(05)-8685-5036,Houston (Texas),Married,Sean Gutierrez,1987-03-20
287-85-1822,(03)-6745-5952,Charlotte (North Carolina),Divorced,Anissa Handy,1970-11-26
339-44-1108,(03)-7504-5388,St. Petersburg (Florida),Single,Laurie Ogle,1989-01-13
320-83-1435,(04)-8288-6362,Denver (Colorado),Divorced,Felix Friel,1969-01-02
320-18-1954,(03)-7973-5036,Philadelphia[8] (Pennsylvania),Married,Bailey Dorsey,1984-12-08
238-54-1469,(04)-7905-5970,Detroit (Michigan),Common-Law,Rosemary Robinett,1972-12-17
408-25-1286,(04)-9235-7402,Philadelphia[8] (Pennsylvania),Common-Law,Geoffrey Layden,1986-05-16
320-82-1922,(09)-6745-7414,Wichita (Kansas),Common-Law,Abel Holmes,1987-04-23
381-99-1193,(08)-2905-6781,Tucson (Arizona),Common-Law,Tony Garlock,1988-06-01
320-31-1054,(03)-7508-1079,San Bernardino (California),Common-Law,Donny Porter,1978-12-15
429-46-1778,(03)-7504-4394,Henderson (Nevada),Married,Faith Cripe,1979-10-31
425-82-1442,(09)-5179-9661,Omaha (Nebraska),Divorced,Wilfredo Cassady,1985-07-17
116-82-1006,(08)-5050-1179,Chula Vista (California),Married,Mary Dionisio,1978-01-03
425-51-1253,(08)-9999-9910,Denver (Colorado),Common-Law,Claire Froelich,1984-06-09
425-54-1394,(08)-7703-2115,San Jose (California),Divorced,Kathryn Dukes,1982-06-20
287-51-1837,(05)-9719-7818,Norfolk (Virginia),Common-Law,Rodney Mackie,1975-03-12
323-60-1768,(09)-2298-4176,Chesapeake (Virginia),Divorced,Greg Eldridge,1969-04-20
408-32-1061,(05)-5330-5241,Portland (Oregon),Divorced,Sidney Ramirez,1971-07-05
287-83-1506,(03)-9333-5019,Irvine (California),Divorced,Carole Mcmaster,1974-04-20
279-82-1435,(09)-5902-5970,Virginia Beach (Virginia),Single,Gussie Dineen,1981-10-22
216-46-1529,(08)-3339-4176,Boston (Massachusetts),Married,Akiko Urban,1975-10-09
216-55-1108,(03)-4858-7527,Detroit (Michigan),Divorced,Nancy Irby,1983-01-07
177-34-1753,(07)-5902-8548,Norfolk (Virginia),Single,Amanda Kahn,1980-10-29
320-23-1954,(03)-7504-5326,Atlanta (Georgia),Divorced,Ellis Foerster,1976-11-17
368-34-1688,(05)-3339-5019,Mesa (Arizona),Married,Calvin Bernal,1980-05-27
381-83-1957,(08)-4858-8942,Omaha (Nebraska),Married,Emmett Willcox,1969-05-14
144-46-1401,(03)-3433-9187,Houston (Texas),Single,Brandie Rico,1972-05-06
177-18-1367,(09)-7508-1478,Lincoln (Nebraska),Single,Hector Akridge,1987-04-13
368-83-1022,(08)-6975-5686,Pittsburgh (Pennsylvania),Married,Julio Stansbury,1989-04-16
408-31-1629,(09)-5502-3197,Plano (Texas),Common-Law,Agnes Harvey,1971-11-02
224-44-1643,(08)-1350-3262,Winston–Salem (North Carolina),Divorced,Juliana Driver,1984-02-29
287-23-1883,(07)-5146-7659,Durham (North Carolina),Common-Law,Kathy Crown,1977-06-18
391-51-1583,(05)-5580-8507,Anchorage (Alaska),Divorced,Wallace Neilson,1984-03-31
429-93-1435,(07)-5002-8942,Chicago (Illinois),Single,In Markley,1989-10-17
144-81-1159,(09)-5002-1423,Colorado Springs (Colorado),Single,Alec Lefever,1987-03-04
138-34-1809,(07)-5794-2714,Atlanta (Georgia),Married,Ronald Veras,1971-07-27
323-51-1158,(07)-2926-1791,Bakersfield (California),Common-Law,Mia New,1980-12-28
216-25-1171,(07)-2298-5965,Baltimore (Maryland),Common-Law,Kristy Mendoza,1979-11-21
339-25-1519,(03)-5062-7352,Tampa (Florida),Single,Jenny Beekman,1986-05-06
177-32-1468,(08)-3320-4634,Hialeah (Florida),Married,Kyle Ehret,1989-02-12
144-54-1559,(09)-7973-5119,Columbus (Ohio),Divorced,Lorenza Hesse,1980-06-06
381-25-1315,(04)-8435-5241,Greensboro (North Carolina),Common-Law,Mechelle Harrow,1973-05-24
381-46-1468,(05)-2905-6781,Tulsa (Oklahoma),Single,Ramiro Vacca,1971-09-19
429-85-1224,(07)-9719-3262,New Orleans (Louisiana),Single,Lou Insley,1973-02-20
238-18-1468,(05)-9854-5326,Bakersfield (California),Single,Noah Dement,1983-10-08
368-55-1491,(05)-5002-3563,Norfolk (Virginia),Single,Heath Duvall,1990-03-22
144-25-1530,(09)-6865-5965,Virginia Beach (Virginia),Divorced,Tuan Woodman,1971-09-12
323-54-1828,(03)-9365-3554,San Jose (California),Common-Law,Lilly Watters,1985-09-18
224-32-1563,(04)-8685-8567,Detroit (Michigan),Single,Diana Rose,1977-01-18
138-99-1108,(04)-9999-6898,Reno (Nevada),Single,Marcy Childs,1986-02-13
323-60-1642,(08)-9235-7370,Chandler (Arizona),Married,Lamar Wiseman,1977-04-05
368-25-1469,(03)-5146-3554,Garland (Texas),Married,Jeffery Gaddis,1988-05-19
323-51-1137,(03)-3949-9470,Baltimore (Maryland),Married,Emmanuel Castille,1979-12-21
279-93-1145,(07)-4286-6681,Fort Worth (Texas),Common-Law,Donna Victor,1980-07-25
116-60-1288,(03)-5002-8568,Seattle (Washington),Common-Law,Natacha Huynh,1985-11-09
116-23-1891,(03)-5502-2725,Irvine (California),Divorced,Felica Sparacino,1989-10-31
166-18-1629,(07)-7504-5801,Honolulu (Hawaii),Common-Law,Anneliese Blakes,1981-06-20
144-85-1140,(09)-5179-1452,Buffalo (New York),Single,Theodore Dudley,1986-02-21
216-46-1500,(03)-6473-6500,Boise (Idaho),Divorced,Tanya Chamberlin,1969-09-14
116-23-1374,(03)-2926-5326,San Diego (California),Married,Rosemary Fletcher,1984-01-20
368-44-1856,(05)-3339-1079,Virginia Beach (Virginia),Common-Law,Latisha Haun,1980-12-22
116-32-1521,(04)-6486-5686,Winston–Salem (North Carolina),Common-Law,Miriam Meeker,1982-03-12
339-60-1912,(07)-2905-5202,Sacramento (California),Married,Leann Voss,1971-03-06
381-55-1723,(04)-5330-5019,Corpus Christi (Texas),Married,Ben Mcwhorter,1981-07-31
116-93-1727,(08)-2905-5560,Miami (Florida),Single,Ruth Days,1978-10-06
339-32-1054,(08)-9854-5019,New York (New York),Common-Law,Sigrid Ballew,1979-06-05
279-55-1615,(09)-3949-4508,Baltimore (Maryland),Married,Derek Morgan,1978-04-28
177-54-1620,(08)-3949-6535,Saint Paul (Minnesota),Single,Rene Thoma,1989-07-19
144-74-1883,(05)-6745-1079,Boston (Massachusetts),Married,Olive Mcgahey,1986-05-16
301-25-1603,(07)-5794-3038,Sacramento (California),Divorced,Kirk Sammons,1989-09-04
301-30-1871,(07)-9365-7414,Orlando (Florida),Single,Delfina Fife,1986-06-11
320-46-1435,(04)-3433-7402,Cincinnati (Ohio),Common-Law,Cherie Greenfield,1980-01-20
429-83-1145,(05)-6191-9910,Memphis (Tennessee),Single,Autumn Durand,1986-07-04
279-81-1227,(03)-5854-1179,Memphis (Tennessee),Common-Law,Zachary Merritt,1978-07-21
368-31-1979,(05)-6975-3262,Columbus (Ohio),Married,Alphonse Frady,1987-06-21
166-51-1666,(08)-5580-7402,Denver (Colorado),Single,Domenica Cary,1974-12-23
238-30-1535,(05)-5794-6629,Henderson (Nevada),Common-Law,Carlos Danley,1988-03-07
323-46-1912,(07)-6975-6681,San Jose (California),Single,Christal Espinosa,1982-03-06
429-85-1882,(04)-5062-8942,New Orleans (Louisiana),Divorced,Percy Rochon,1969-10-06
323-34-1253,(05)-6865-5560,Gilbert (Arizona),Common-Law,Danita Malpass,1976-02-21
238-99-1399,(07)-5902-4606,Louisville (Kentucky),Common-Law,Arthur Mundt,1989-10-27
391-93-1067,(07)-3949-6362,Virginia Beach (Virginia),Common-Law,Walter Nakagawa,1990-04-17
238-46-1442,(08)-4370-4983,Nashville (Tennessee),Married,Giuseppe Vallejo,1976-05-31
339-55-1048,(09)-4370-2735,Norfolk (Virginia),Common-Law,Sherry Humphries,1985-08-04
177-32-1813,(09)-5794-5036,Norfolk (Virginia),Divorced,Latonya Mccall,1978-10-05
429-31-1603,(07)-4370-3038,Detroit (Michigan),Single,Ileana Branan,1982-06-10
116-30-1376,(04)-3339-6362,Winston–Salem (North Carolina),Single,Verona Joiner,1990-03-26
381-99-1854,(04)-2905-5952,Mesa (Arizona),Common-Law,Alta Fitzhugh,1974-07-09
224-34-1772,(09)-2905-7402,Virginia Beach (Virginia),Single,Lawrence Gentile,1987-11-17
429-51-1479,(05)-6812-5965,Jersey City (New Jersey),Single,Claudia Mounts,1986-12-21
391-83-1914,(03)-1350-2611,St. Petersburg (Florida),Common-Law,Julianna Park,1977-04-02
144-74-1958,(08)-7508-5241,Dallas (Texas),Single,Elena Pullins,1973-01-23
323-54-1727,(03)-9854-1433,Lexington (Kentucky),Married,Jill Kraus,1975-03-15
238-18-1339,(04)-5330-8193,Cincinnati (Ohio),Single,Leona Keeley,1979-12-28
116-74-1739,(04)-3460-1079,New York (New York),Married,Austin Skeen,1978-08-17
116-31-1376,(07)-1199-2611,Fremont (California),Common-Law,Elisa Salomon,1972-05-18
144-82-1703,(09)-3433-5952,North Las Vegas (Nevada),Single,Emmanuel Riddle,1975-11-22
224-60-1507,(03)-6486-8432,San Antonio (Texas),Divorced,Nathanael Rohde,1990-01-11
166-25-1012,(05)-5179-4983,Chicago (Illinois),Divorced,Josephine Valenzuela,1985-05-17
279-46-1000,(05)-3949-4339,Long Beach (California),Married,Neal Ragland,1981-04-18
339-18-1496,(09)-9999-8405,Nashville (Tennessee),Divorced,Steve Casella,1983-03-11
391-54-1858,(04)-5502-7414,Aurora (Colorado),Common-Law,Helaine Kester,1977-01-29
116-51-1891,(08)-9719-5952,Laredo (Texas),Single,Allan Terry,1976-08-02
429-93-1563,(07)-6473-2115,Wichita (Kansas),Single,Caridad Medina,1988-12-13
425-82-1603,(05)-6486-4345,Garland (Texas),Married,Roger Parenteau,1987-11-16
144-32-1995,(08)-8435-1433,Virginia Beach (Virginia),Married,Georgianne Singer,1976-08-24
381-54-1747,(07)-5592-1764,Irvine (California),Single,Gale Doane,1975-05-06
216-83-1048,(09)-9292-6502,Aurora (Colorado),Divorced,Glory Tryon,1982-08-23
216-31-1442,(03)-6865-2735,Oklahoma City (Oklahoma),Common-Law,Ursula Fallin,1974-12-06
429-93-1732,(04)-4286-5801,Tampa (Florida),Divorced,Cary Call,1983-07-17
166-55-1399,(04)-9854-2725,Riverside (California),Common-Law,Tyrell Bond,1976-05-25
216-18-1924,(09)-7973-1633,Scottsdale (Arizona),Single,Mandie Schank,1990-05-11
224-85-1237,(04)-5050-8507,San Francisco (California),Common-Law,Shoshana Hooker,1986-08-28
391-55-1801,(08)-9235-8568,Wichita (Kansas),Divorced,Jose Gore,1990-11-06
339-23-1359,(09)-5794-7286,Miami (Florida),Divorced,Alvin Houle,1986-10-07
216-18-1392,(09)-9235-8968,Phoenix (Arizona),Divorced,Marvin Saldivar,1970-04-06
408-55-1332,(08)-8435-5965,Honolulu (Hawaii),Common-Law,Walter Domingue,1987-06-22
287-54-1954,(03)-7703-3325,San Bernardino (California),Common-Law,Marcelina Wells,1975-03-08
320-34-1519,(07)-6812-4444,Irvine (California),Single,Cindy Parenteau,1985-10-30
429-82-1739,(08)-8435-8405,Chandler (Arizona),Common-Law,Malcom Kring,1983-12-07
391-74-1545,(09)-6812-5686,Glendale (Arizona),Divorced,Jenny Knowlton,1989-11-16
320-83-1108,(05)-6865-6781,Raleigh (North Carolina),Single,Shelley Mace,1972-02-08
116-93-1158,(08)-3949-8223,Stockton (California),Single,Violet Leech,1972-07-01
116-44-1872,(03)-4370-8055,Saint Paul (Minnesota),Divorced,Leland Lossett,1982-08-26
216-85-1393,(05)-5502-6535,Oklahoma City (Oklahoma),Married,Pearlene Rangel,1986-01-13
323-54-1137,(04)-2926-4508,Arlington (Texas),Common-Law,Pearl Epperson,1985-02-04
339-55-1022,(04)-9365-1247,Anaheim (California),Common-Law,Adrienne Donley,1988-10-27
425-83-1392,(04)-4370-8548,Long Beach (California),Single,Autumn Mikels,1985-05-23
166-18-1448,(08)-1199-3563,Bakersfield (California),Common-Law,Nicky Kissell,1986-01-28
391-74-1954,(09)-5050-4176,Washington (District of Columbia),Divorced,Raymond Mcardle,1977-09-27
323-46-1924,(03)-5002-6362,Tucson (Arizona),Single,Abby Atchison,1990-01-31
238-31-1957,(04)-7973-1452,Plano (Texas),Common-Law,Kassandra Mcfarland,1986-04-14
279-55-1822,(05)-5902-5801,Memphis (Tennessee),Common-Law,Orville Henley,1977-06-07
391-23-1057,(04)-5050-4508,Oakland (California),Single,Dolores Stuckey,1972-02-16
224-46-1217,(09)-7508-4983,San Francisco (California),Common-Law,Maple Byrd,1984-03-10
224-18-1801,(05)-2926-8548,Scottsdale (Arizona),Married,Earl Ballard,1980-09-04
381-93-1401,(04)-2926-7434,Baltimore (Maryland),Single,Lizette Brake,1974-11-14
391-30-1307,(07)-7508-8968,Washington (District of Columbia),Common-Law,Emily Bennett,1983-10-20
224-83-1202,(03)-9365-7286,Oakland (California),Married,Yadira Do,1990-12-02
116-51-1025,(09)-2298-6480,Plano (Texas),Married,Darrin Bortz,1977-01-26
177-18-1227,(08)-5854-8055,Stockton (California),Divorced,Allyson Bramble,1987-08-17
429-85-1286,(05)-6745-7370,Fresno (California),Common-Law,Rufus Rowe,1970-01-26
381-46-2000,(05)-5794-6766,Louisville (Kentucky),Married,Jennifer Lawler,1979-02-19
144-74-1739,(03)-7504-4208,Richmond (Virginia),Divorced,Lucy Pinkney,1986-03-15
216-55-1374,(03)-3320-5019,Plano (Texas),Divorced,Jamie Lang,1975-02-01
144-44-1664,(05)-6865-9470,Dallas (Texas),Divorced,Rebecca Council,1985-05-11
320-31-1500,(07)-5002-9470,Bakersfield (California),Married,Heath Withrow,1972-06-26
320-99-1718,(03)-4370-4345,Cincinnati (Ohio),Married,Dorathy Plascencia,1974-12-06
287-93-1158,(09)-7508-3563,Colorado Springs (Colorado),Single,Nickolas Dameron,1971-12-28
320-32-1733,(04)-7703-9661,Newark (New Jersey),Married,Olga Lyle,1984-03-05
391-93-1954,(05)-5146-7286,Buffalo (New York),Married,Maura Eckert,1971-09-06
425-74-1283,(08)-3339-6362,Richmond (Virginia),Common-Law,Carissa Chase,1984-09-20
391-34-1849,(07)-3433-7659,New York (New York),Single,Lamar Gift,1987-11-21
224-34-1583,(07)-9719-7191,Toledo (Ohio),Divorced,Elwood Carpio,1974-10-22
166-30-1286,(03)-2905-6500,Reno (Nevada),Common-Law,Wilfredo Weakley,1989-05-28
408-74-1050,(08)-3858-4508,Virginia Beach (Virginia),Common-Law,Doreen Adams,1974-02-24
381-44-1283,(03)-7504-7434,Memphis (Tennessee),Divorced,Mavis Mcraney,1986-12-17
381-18-1718,(04)-4858-1452,Honolulu (Hawaii),Divorced,Tod Serrano,1990-04-26
287-93-1747,(05)-5854-9470,Oakland (California),Common-Law,Juliana Headley,1973-10-06
425-82-1276,(04)-1199-4870,Honolulu (Hawaii),Common-Law,Josephine Rochelle,1971-01-14
425-74-1854,(08)-9719-5801,Virginia Beach (Virginia),Common-Law,In Brockway,1980-02-29
224-23-1263,(03)-6191-4634,Raleigh (North Carolina),Common-Law,Gustavo Painter,1982-10-02
320-34-1050,(08)-3339-5801,Plano (Texas),Married,Sunny Freeze,1986-03-15
425-23-1703,(03)-5854-8193,Chandler (Arizona),Married,Dennis Kenyon,1987-12-12
429-23-1837,(08)-3460-6502,Kansas City (Missouri),Divorced,Sasha Prentice,1982-11-05
138-44-1747,(03)-2926-4394,Henderson (Nevada),Single,Chester Michaud,1990-02-19
429-81-1954,(03)-9333-9661,Omaha (Nebraska),Common-Law,Karl Willcox,1981-05-27
301-30-1199,(03)-3320-4289,Henderson (Nevada),Common-Law,Chuck Cashwell,1982-11-10
116-60-1405,(05)-5854-5388,Jersey City (New Jersey),Common-Law,Dwayne Reel,1972-01-07
408-51-1394,(04)-6486-9910,Phoenix (Arizona),Common-Law,Delia Reel,1988-07-11
216-82-1739,(08)-3320-9187,Madison (Wisconsin),Divorced,Marguerite Weems,1985-01-12
339-83-1050,(04)-6975-1179,Riverside (California),Divorced,Elodia Largent,1977-03-09
138-81-1732,(08)-9365-5801,St. Louis (Missouri),Divorced,Sung Donmoyer,1976-08-21
381-55-1943,(08)-6975-3325,Miami (Florida),Single,Joshua Mangold,1987-05-09
408-46-1158,(09)-3320-5970,Los Angeles (California),Single,Norma Loyd,1976-03-26
287-30-1981,(09)-5002-9910,Dallas (Texas),Divorced,Benjamin Ciotti,1990-10-28
177-23-1854,(05)-5146-8968,Fort Wayne (Indiana),Single,Eleanor Madden,1975-07-31
138-81-1801,(04)-5502-7402,San Francisco (California),Married,Alvin Miranda,1987-01-14
320-25-1872,(05)-3339-9511,Milwaukee (Wisconsin),Married,Ernie Hartman,1980-10-15
301-81-1941,(04)-5502-3345,San Bernardino (California),Common-Law,Maxine Jiang,1969-06-12
144-23-1107,(03)-5794-7208,Long Beach (California),Divorced,Janene Harman,1990-12-08
368-32-1924,(03)-6745-4345,Anchorage (Alaska),Single,Harriette Bier,1982-06-29
425-60-1849,(09)-4370-1247,Phoenix (Arizona),Married,Dave Thibodaux,1980-04-08
381-51-1259,(07)-3460-6681,Santa Ana (California),Single,Ola Fulmer,1975-11-15
177-23-1263,(03)-5580-7208,New Orleans (Louisiana),Married,Jonathon Salomon,1972-03-09
425-44-1022,(07)-6745-9910,Sacramento (California),Divorced,Sidney Mcclain,1985-10-30
408-74-1148,(08)-1199-5686,Baton Rouge (Louisiana),Common-Law,Kelvin Evans,1971-10-08
138-74-1635,(03)-5854-1433,Washington (District of Columbia),Single,Lillie Mass,1982-05-17
116-32-1992,(09)-3433-7434,Virginia Beach (Virginia),Common-Law,Matt Blount,1972-12-18
339-85-1995,(09)-9292-4983,Austin (Texas),Divorced,Margherita Armstrong,1985-01-07
279-83-1994,(03)-1199-1247,Colorado Springs (Colorado),Common-Law,Sterling Swatzell,1976-06-04
177-55-1629,(05)-9999-6362,Phoenix (Arizona),Married,Anne Vinson,1979-10-07
224-31-1339,(04)-5902-4606,Orlando (Florida),Married,Angel Sands,1987-11-02
166-99-1057,(09)-3858-2725,Colorado Springs (Colorado),Single,Gudrun Pimentel,1970-08-18
287-34-1171,(03)-3339-1764,Seattle (Washington),Single,Corey Dillard,1972-05-30
408-54-1394,(08)-5050-7208,Buffalo (New York),Divorced,Armando Talton,1971-04-04
279-46-1217,(09)-5854-6898,San Jose (California),Single,Kasie Dillion,1982-08-20
166-74-1401,(03)-9854-5965,Laredo (Texas),Single,Toshia Causey,1982-05-17
224-60-1757,(03)-8435-8223,San Bernardino (California),Common-Law,Maxine Knott,1987-04-23
166-99-1981,(08)-5179-1633,Bakersfield (California),Married,Glenn Cupples,1972-06-05
425-46-1758,(09)-5062-6681,Honolulu (Hawaii),Married,Alena Clayton,1984-10-22
391-44-1344,(07)-5050-2115,Newark (New Jersey),Divorced,Bernarda Walls,1989-02-05
320-81-1811,(04)-5794-8968,Atlanta (Georgia),Single,Derek Hartt,1974-06-21
320-85-1285,(04)-5902-6766,Chesapeake (Virginia),Married,Roger Mangold,1979-04-07
138-93-1107,(05)-5502-6500,Chandler (Arizona),Common-Law,Meagan Mcgrew,1970-02-22
381-30-1193,(09)-6486-5560,Jacksonville (Florida),Married,Lilia Tapp,1990-11-05
144-60-1338,(07)-5002-8432,Chesapeake (Virginia),Common-Law,Elissa Baldwin,1982-09-22
138-60-1957,(08)-6473-5326,Los Angeles (California),Divorced,Tricia Burns,1981-09-18
381-60-1914,(04)-9235-6500,Fort Worth (Texas),Single,Chrissy Purdue,1973-11-19
425-30-1253,(09)-9235-5560,Wichita (Kansas),Divorced,Lakia Chaffins,1984-09-12
368-46-1313,(08)-9719-7456,Boise (Idaho),Common-Law,Jerry Vansant,1970-12-20
